Distribution,Sample Size,Bin Count,CI_Hist_MSE_Mean,CI_Hist_MSE_Lower,CI_Hist_MSE_Upper,CI_HDE_MSE_Mean,CI_HDE_MSE_Lower,CI_HDE_MSE_Upper,CI_Hist_MAE_Mean,CI_Hist_MAE_Lower,CI_Hist_MAE_Upper,CI_HDE_MAE_Mean,CI_HDE_MAE_Lower,CI_HDE_MAE_Upper,CI_Hist_Normalized_MSE_Mean,CI_Hist_Normalized_MSE_Lower,CI_Hist_Normalized_MSE_Upper,CI_HDE_Normalized_MSE_Mean,CI_HDE_Normalized_MSE_Lower,CI_HDE_Normalized_MSE_Upper,CI_Hist_Normalized_MAE_Mean,CI_Hist_Normalized_MAE_Lower,CI_Hist_Normalized_MAE_Upper,CI_HDE_Normalized_MAE_Mean,CI_HDE_Normalized_MAE_Lower,CI_HDE_Normalized_MAE_Upper,CI_Hist_IMSE_Mean,CI_Hist_IMSE_Lower,CI_Hist_IMSE_Upper,CI_HDE_IMSE_Mean,CI_HDE_IMSE_Lower,CI_HDE_IMSE_Upper,CI_Hist_MIAE_Mean,CI_Hist_MIAE_Lower,CI_Hist_MIAE_Upper,CI_HDE_MIAE_Mean,CI_HDE_MIAE_Lower,CI_HDE_MIAE_Upper,CI_Hist_AMISE_Mean,CI_Hist_AMISE_Lower,CI_Hist_AMISE_Upper,CI_HDE_AMISE_Mean,CI_HDE_AMISE_Lower,CI_HDE_AMISE_Upper,CI_Percent_Diff_MSE_Mean,CI_Percent_Diff_MSE_Lower,CI_Percent_Diff_MSE_Upper,CI_Percent_Diff_MAE_Mean,CI_Percent_Diff_MAE_Lower,CI_Percent_Diff_MAE_Upper,CI_Percent_Diff_Normalized_MSE_Mean,CI_Percent_Diff_Normalized_MSE_Lower,CI_Percent_Diff_Normalized_MSE_Upper,CI_Percent_Diff_Normalized_MAE_Mean,CI_Percent_Diff_Normalized_MAE_Lower,CI_Percent_Diff_Normalized_MAE_Upper,CI_Percent_Diff_IMSE_Mean,CI_Percent_Diff_IMSE_Lower,CI_Percent_Diff_IMSE_Upper,CI_Percent_Diff_MIAE_Mean,CI_Percent_Diff_MIAE_Lower,CI_Percent_Diff_MIAE_Upper,CI_Percent_Diff_AMISE_Mean,CI_Percent_Diff_AMISE_Lower,CI_Percent_Diff_AMISE_Upper,Percent_Diff_MSE,Percent_Diff_MAE,Percent_Diff_Normalized_MSE,Percent_Diff_Normalized_MAE,Percent_Diff_IMSE,Percent_Diff_MIAE,Percent_Diff_AMISE
beta,10,10,0.0121697506,0.008916873732730944,0.015422627467269055,0.009863841386752852,0.0063129346792021035,0.0134147480943036,0.08884339999999999,0.07512080803390751,0.10256599196609247,0.07581851187684993,0.06196341348499217,0.08967361026870768,0.0012169750599999997,0.0008916873732730942,0.0015422627467269051,0.0009863841386752853,0.0006312934679202106,0.00134147480943036,0.008884340000000001,0.007512080803390754,0.010256599196609248,0.007581851187684991,0.006196341348499215,0.008967361026870768,0.0121697506,0.008916873732730944,0.015422627467269055,0.009863841386752852,0.0063129346792021035,0.0134147480943036,0.08884339999999999,0.07512080803390751,0.10256599196609247,0.07581851187684993,0.06196341348499217,0.08967361026870768,0.0038484130452200727,0.0028197630603557294,0.004877063030084416,0.003119220526077283,0.0019963252306143047,0.0042421158215402615,21.16665507871482,11.590376848316748,30.742933309112896,15.094561367791567,10.32851555477057,19.860607180812565,21.16665507871482,11.590376848316748,30.742933309112896,15.094561367791561,10.328515554770563,19.860607180812558,21.16665507871482,11.590376848316748,30.742933309112896,15.094561367791567,10.32851555477057,19.860607180812565,21.16665507871482,11.590376848316746,30.7429333091129,21.16665507871482,15.094561367791567,21.16665507871482,15.094561367791561,21.16665507871482,15.094561367791567,21.16665507871482
beta,10,15,0.0084972088,0.006071950916205141,0.010922466683794858,0.0069285234243450025,0.0045940688709098804,0.009262977977780125,0.07227413333333332,0.061948503516815134,0.08259976314985151,0.06189947479363924,0.05015494192568782,0.07364400766159065,0.0008497208799999999,0.0006071950916205141,0.001092246668379486,0.0006928523424345002,0.00045940688709098795,0.0009262977977780125,0.0072274133333333325,0.006194850351681514,0.008259976314985151,0.006189947479363924,0.005015494192568783,0.007364400766159065,0.0084972088,0.006071950916205141,0.010922466683794858,0.0069285234243450025,0.0045940688709098804,0.009262977977780125,0.07227413333333332,0.061948503516815134,0.08259976314985151,0.06189947479363924,0.05015494192568782,0.07364400766159065,0.0026870533562026156,0.0019201194735954435,0.0034539872388097874,0.0021909914842759516,0.001452772135975328,0.002929210832576575,20.903656228597868,13.99170639436566,27.815606062830074,15.256855601290578,10.816024819305088,19.697686383276068,20.903656228597864,13.991706394365657,27.81560606283007,15.256855601290576,10.816024819305085,19.697686383276068,20.903656228597868,13.99170639436566,27.815606062830074,15.256855601290578,10.816024819305088,19.697686383276068,20.903656228597868,13.99170639436566,27.815606062830074,20.903656228597868,15.256855601290578,20.903656228597864,15.256855601290576,20.903656228597868,15.256855601290578,20.903656228597868
beta,10,20,0.006014024949999999,0.004978095099666663,0.007049954800333336,0.005128533695814927,0.004058426772727841,0.006198640618902012,0.05672529999999998,0.05052872361566789,0.06292187638433207,0.04501917408703025,0.0386161517506219,0.05142219642343861,0.000601402495,0.0004978095099666663,0.0007049954800333336,0.0005128533695814928,0.0004058426772727842,0.0006198640618902013,0.005672529999999999,0.005052872361566791,0.006292187638433208,0.004501917408703025,0.0038616151750621897,0.00514221964234386,0.006014024949999999,0.004978095099666663,0.007049954800333336,0.005128533695814927,0.004058426772727841,0.006198640618902012,0.05672529999999998,0.05052872361566789,0.06292187638433207,0.04501917408703025,0.0386161517506219,0.05142219642343861,0.001901801674708025,0.0015742118923869567,0.0022293914570290932,0.0016217847535696319,0.0012833872318826504,0.001960182275256613,15.569279814462442,11.1987741776362,19.939785451288685,20.903946174302682,15.585639027219232,26.222253321386134,15.569279814462437,11.198774177636196,19.939785451288678,20.903946174302686,15.585639027219234,26.222253321386138,15.569279814462442,11.1987741776362,19.939785451288685,20.903946174302682,15.585639027219232,26.222253321386134,15.569279814462437,11.198774177636192,19.93978545128868,15.569279814462442,20.903946174302682,15.569279814462437,20.903946174302686,15.569279814462442,20.903946174302682,15.569279814462437
beta,10,25,0.004443784784,0.004148400326252318,0.0047391692417476814,0.0038976070121179594,0.0034702384397140404,0.004324975584521879,0.05237679999999999,0.04904643456528441,0.055707165434715565,0.04639592046030967,0.041222293489755875,0.05156954743086347,0.00044437847840000005,0.00041484003262523187,0.00047391692417476824,0.00038976070121179594,0.00034702384397140406,0.0004324975584521878,0.00523768,0.004904643456528442,0.0055707165434715575,0.004639592046030967,0.004122229348975587,0.005156954743086347,0.004443784784,0.004148400326252318,0.0047391692417476814,0.0038976070121179594,0.0034702384397140404,0.004324975584521879,0.05237679999999999,0.04904643456528441,0.055707165434715565,0.04639592046030967,0.041222293489755875,0.05156954743086347,0.0014052481349039368,0.0013118393677142924,0.0014986569020935812,0.0012325315582536248,0.0010973857493365284,0.0013676773671707212,12.504398271203137,6.681851721741626,18.326944820664647,11.8236215790598,6.405370597825397,17.241872560294205,12.50439827120314,6.681851721741629,18.32694482066465,11.8236215790598,6.405370597825394,17.241872560294205,12.504398271203137,6.681851721741626,18.326944820664647,11.8236215790598,6.405370597825397,17.241872560294205,12.504398271203135,6.681851721741625,18.326944820664643,12.504398271203137,11.8236215790598,12.50439827120314,11.8236215790598,12.504398271203137,11.8236215790598,12.504398271203135
beta,10,30,0.0036529645399999977,0.002819957027621546,0.004485972052378449,0.0032883424058636735,0.0021888598625406956,0.004387824949186651,0.04684373333333333,0.042376843947311324,0.05131062271935534,0.04072596195675736,0.03420043464701868,0.047251489266496034,0.0003652964539999998,0.0002819957027621546,0.00044859720523784496,0.0003288342405863673,0.0002188859862540695,0.0004387824949186651,0.0046843733333333335,0.004237684394731133,0.0051310622719355345,0.0040725961956757355,0.003420043464701868,0.004725148926649603,0.0036529645399999977,0.002819957027621546,0.004485972052378449,0.0032883424058636735,0.0021888598625406956,0.004387824949186651,0.04684373333333333,0.042376843947311324,0.05131062271935534,0.04072596195675736,0.03420043464701868,0.047251489266496034,0.0011551688158229253,0.000891748711108244,0.0014185889205376066,0.0010398651729047036,0.0006921782644551671,0.0013875520813542402,13.493738742041796,4.172690708535246,22.814786775548345,13.943625755772235,7.626105617829034,20.261145893715437,13.493738742041796,4.172690708535244,22.81478677554835,13.943625755772235,7.626105617829038,20.261145893715433,13.493738742041796,4.172690708535246,22.814786775548345,13.943625755772235,7.626105617829034,20.261145893715437,13.493738742041803,4.172690708535253,22.814786775548352,13.493738742041796,13.943625755772235,13.493738742041796,13.943625755772235,13.493738742041796,13.943625755772235,13.493738742041803
beta,10,50,0.0021628829159999995,0.0019898035905738846,0.0023359622414261144,0.0020874977528867523,0.0019183514220545417,0.0022566440837189627,0.0328074,0.03169695391041478,0.03391784608958522,0.028787015878447945,0.0262729712676835,0.03130106048921239,0.00021628829159999995,0.00019898035905738847,0.00023359622414261143,0.00020874977528867526,0.0001918351422054542,0.00022566440837189632,0.00328074,0.003169695391041478,0.0033917846089585217,0.002878701587844794,0.0026272971267683495,0.0031301060489212387,0.0021628829159999995,0.0019898035905738846,0.0023359622414261144,0.0020874977528867523,0.0019183514220545417,0.0022566440837189627,0.0328074,0.03169695391041478,0.03391784608958522,0.028787015878447945,0.0262729712676835,0.03130106048921239,0.000683963632682664,0.0006292311442594624,0.0007386961211058655,0.0006601247509605469,0.0006066359846315319,0.0007136135172895619,3.4880831678159074,1.5886555315485826,5.387510804083233,12.461831002075256,7.096585074458939,17.82707692969157,3.4880831678159074,1.5886555315485815,5.387510804083234,12.461831002075254,7.096585074458935,17.82707692969157,3.4880831678159074,1.5886555315485826,5.387510804083233,12.461831002075256,7.096585074458939,17.82707692969157,3.488083167815911,1.588655531548587,5.3875108040832345,3.4880831678159074,12.461831002075256,3.4880831678159074,12.461831002075254,3.4880831678159074,12.461831002075256,3.488083167815911
beta,10,100,0.0010845401560000008,0.0009672385518021317,0.0012018417601978699,0.001201348401712069,0.001044001414284523,0.001358695389139615,0.01821446,0.017903504132405008,0.01852541586759499,0.017759173601455132,0.016400038551422906,0.019118308651487358,0.00010845401560000008,9.672385518021316e-05,0.000120184176019787,0.00012013484017120691,0.00010440014142845231,0.00013586953891396152,0.0018214459999999998,0.0017903504132405009,0.0018525415867594987,0.001775917360145513,0.0016400038551422904,0.0019118308651487354,0.0010845401560000008,0.0009672385518021317,0.0012018417601978699,0.001201348401712069,0.001044001414284523,0.001358695389139615,0.01821446,0.017903504132405008,0.01852541586759499,0.017759173601455132,0.016400038551422906,0.019118308651487358,0.0003429617106874332,0.0003058676864417497,0.00038005573493311666,0.0003798997212813064,0.00033014223495761403,0.00042965720760499874,-10.313891950595494,-13.701149318462766,-6.926634582728221,2.6603919425178026,-3.2557323601919665,8.576516245227571,-10.313891950595494,-13.701149318462768,-6.926634582728219,2.660391942517802,-3.255732360191967,8.576516245227571,-10.313891950595494,-13.701149318462766,-6.926634582728221,2.6603919425178026,-3.2557323601919665,8.576516245227571,-10.313891950595492,-13.701149318462763,-6.926634582728221,-10.313891950595494,2.6603919425178026,-10.313891950595494,2.660391942517802,-10.313891950595494,2.6603919425178026,-10.313891950595492
beta,50,10,0.004422966599999998,0.003754873337634889,0.005091059862365107,0.003980882648384028,0.003312791738702809,0.004648973558065247,0.054072199999999994,0.048415913985598615,0.05972848601440137,0.04997041986090851,0.043188896524407036,0.05675194319740999,8.845933199999996e-05,7.509746675269777e-05,0.00010182119724730215,7.961765296768056e-05,6.625583477405618e-05,9.297947116130494e-05,0.0010814439999999998,0.0009683182797119721,0.0011945697202880273,0.00099940839721817,0.0008637779304881405,0.0011350388639481995,0.004422966599999998,0.003754873337634889,0.005091059862365107,0.003980882648384028,0.003312791738702809,0.004648973558065247,0.054072199999999994,0.048415913985598615,0.05972848601440137,0.04997041986090851,0.043188896524407036,0.05675194319740999,0.0006255019351643213,0.0005310192799076389,0.0007199845904210037,0.0005629818231560416,0.0004684995006191058,0.0006574641456929775,9.971537980732597,2.7227201081983186,17.220355853266874,7.972984330049952,2.595093849566527,13.350874810533377,9.971537980732595,2.722720108198317,17.220355853266874,7.972984330049949,2.595093849566525,13.350874810533373,9.971537980732597,2.7227201081983186,17.220355853266874,7.972984330049952,2.595093849566527,13.350874810533377,9.971537980732599,2.722720108198321,17.220355853266877,9.971537980732597,7.972984330049952,9.971537980732595,7.972984330049949,9.971537980732597,7.972984330049952,9.971537980732599
beta,50,15,0.0019625021333333345,0.00161399223851466,0.002311012028152009,0.0016483480971271323,0.001383313256685754,0.0019133829375685106,0.03567866666666667,0.03168905542836309,0.03966827790497025,0.03151057821464563,0.027947950215435575,0.035073206213855686,3.925004266666668e-05,3.227984477029319e-05,4.622024056304017e-05,3.2966961942542646e-05,2.766626513371508e-05,3.826765875137021e-05,0.0007135733333333333,0.0006337811085672617,0.0007933655580994049,0.0006302115642929125,0.0005589590043087114,0.0007014641242771136,0.0019625021333333345,0.00161399223851466,0.002311012028152009,0.0016483480971271323,0.001383313256685754,0.0019133829375685106,0.03567866666666667,0.03168905542836309,0.03966827790497025,0.03151057821464563,0.027947950215435575,0.035073206213855686,0.0002775397133146133,0.00022825297132723427,0.00032682645530199235,0.00023311162344690742,0.00019563003686154878,0.00027059321003226606,14.650412365851087,5.84689921207824,23.453925519623937,11.460847780745786,6.675586644847976,16.246108916643596,14.650412365851091,5.846899212078245,23.453925519623937,11.460847780745787,6.67558664484798,16.246108916643593,14.650412365851087,5.84689921207824,23.453925519623937,11.460847780745786,6.675586644847976,16.246108916643596,14.650412365851087,5.846899212078242,23.453925519623933,14.650412365851087,11.460847780745786,14.650412365851091,11.460847780745787,14.650412365851087,11.460847780745786,14.650412365851087
beta,50,20,0.00132164095,0.0010577819096221392,0.0015854999903778606,0.0010485223492864742,0.0008567691173831317,0.0012402755811898166,0.0274023,0.024843394762898582,0.02996120523710142,0.023932353351827057,0.021679832432443213,0.0261848742712109,2.6432818999999997e-05,2.1155638192442784e-05,3.170999980755721e-05,2.0970446985729484e-05,1.7135382347662633e-05,2.4805511623796335e-05,0.0005480460000000002,0.0004968678952579717,0.0005992241047420286,0.00047864706703654115,0.00043359664864886424,0.000523697485424218,0.00132164095,0.0010577819096221392,0.0015854999903778606,0.0010485223492864742,0.0008567691173831317,0.0012402755811898166,0.0274023,0.024843394762898582,0.02996120523710142,0.023932353351827057,0.021679832432443213,0.0261848742712109,0.0001869082556077661,0.00014959295226205405,0.00022422355895347816,0.0001482834526812231,0.00012116545056256508,0.00017540145479988113,19.457916027604377,12.62559740725521,26.290234647953543,12.438048670021374,7.980869451825289,16.89522788821746,19.45791602760438,12.625597407255214,26.290234647953547,12.438048670021377,7.980869451825293,16.895227888217462,19.457916027604377,12.62559740725521,26.290234647953543,12.438048670021374,7.980869451825289,16.89522788821746,19.45791602760438,12.625597407255214,26.290234647953547,19.457916027604377,12.438048670021374,19.45791602760438,12.438048670021377,19.457916027604377,12.438048670021374,19.45791602760438
