Distribution,Sample Size,Bin Count,CI_HDEM_MSE_Mean,CI_HDEM_MSE_Lower,CI_HDEM_MSE_Upper,CI_HDEM_MAE_Mean,CI_HDEM_MAE_Lower,CI_HDEM_MAE_Upper,CI_HDEM_Normalized MSE_Mean,CI_HDEM_Normalized MSE_Lower,CI_HDEM_Normalized MSE_Upper,CI_HDEM_Normalized MAE_Mean,CI_HDEM_Normalized MAE_Lower,CI_HDEM_Normalized MAE_Upper,CI_HDEM_IMSE_Mean,CI_HDEM_IMSE_Lower,CI_HDEM_IMSE_Upper,CI_HDEM_MISE_Mean,CI_HDEM_MISE_Lower,CI_HDEM_MISE_Upper,CI_HDEM_MIAE_Mean,CI_HDEM_MIAE_Lower,CI_HDEM_MIAE_Upper,CI_HDEM_AMISE_Mean,CI_HDEM_AMISE_Lower,CI_HDEM_AMISE_Upper
beta,50,10,0.000239390617376133,6.988982637518097e-05,0.000408891408377085,0.008157519666820916,0.005120334433108862,0.011194704900532971,4.787812347522659e-06,1.3977965275036193e-06,8.177828167541699e-06,0.00016315039333641832,0.00010240668866217722,0.0002238940980106594,0.000239390617376133,6.988982637518097e-05,0.000408891408377085,1.5083227609701012e-05,4.425186436418625e-06,2.5741268782983402e-05,0.0005281575830361866,0.0003407726005429007,0.0007155425655294725,3.385494577981956e-05,9.88391403316818e-06,5.782597752647094e-05
beta,50,15,0.00022127511148509058,0.00010528888139740557,0.0003372613415727756,0.008751998200548953,0.006380822008456118,0.011123174392641787,4.4255022297018114e-06,2.105777627948111e-06,6.745226831455512e-06,0.00017503996401097905,0.00012761644016912233,0.00022246348785283577,0.00022127511148509058,0.00010528888139740557,0.0003372613415727756,8.884426845299227e-06,4.510599861189523e-06,1.3258253829408932e-05,0.0003626086293042165,0.00028190054642703564,0.0004433167121813973,3.1293026367783364e-05,1.4890096403930318e-05,4.769595633163641e-05
beta,50,20,0.00013607937724057295,4.8051321529097216e-05,0.0002241074329520487,0.007583717048941946,0.006152604119012974,0.009014829978870919,2.7215875448114585e-06,9.610264305819438e-07,4.482148659040973e-06,0.0001516743409788389,0.00012305208238025945,0.00018029659957741838,0.00013607937724057295,4.8051321529097216e-05,0.0002241074329520487,4.248528307010473e-06,1.4804993504790459e-06,7.0165572635419e-06,0.0002401054988616032,0.00019760262675949365,0.00028260837096371277,1.9244530085290292e-05,6.7954830596399555e-06,3.169357711094063e-05
beta,50,25,0.00013409066909793687,9.24098501210345e-05,0.00017577148807483925,0.00882313521885573,0.007056190791530167,0.010590079646181291,2.6818133819587384e-06,1.848197002420691e-06,3.5154297614967858e-06,0.00017646270437711456,0.00014112381583060332,0.0002118015929236258,0.00013409066909793687,9.24098501210345e-05,0.00017577148807483925,3.5427597156284128e-06,2.426821375266326e-06,4.658698055990499e-06,0.00023269575693238517,0.00018549979868256203,0.0002798917151822083,1.8963284282598524e-05,1.3068726333803203e-05,2.4857842231393846e-05
beta,50,30,0.00012725346288391492,0.00010417842161803812,0.0001503285041497917,0.008799715228507756,0.007729450672460988,0.009869979784554525,2.5450692576782987e-06,2.083568432360763e-06,3.0065700829958344e-06,0.00017599430457015513,0.00015458901344921977,0.0001973995956910905,0.00012725346288391492,0.00010417842161803812,0.0001503285041497917,2.668649785139096e-06,2.133145763718263e-06,3.2041538065599295e-06,0.00018456021360706014,0.00015667087446021057,0.0002124495527539097,1.7996357306937376e-05,1.4733053675885196e-05,2.1259660937989554e-05
beta,50,50,8.92190942010178e-05,7.604460426148913e-05,0.00010239358414054646,0.0076409414499665025,0.007049618475136261,0.008232264424796744,1.7843818840203556e-06,1.5208920852297824e-06,2.047871682810929e-06,0.00015281882899933005,0.0001409923695027252,0.0001646452884959349,8.92190942010178e-05,7.604460426148913e-05,0.00010239358414054646,1.1499423484520055e-06,9.62820842905867e-07,1.337063853998144e-06,9.839874347977774e-05,8.905762378007936e-05,0.00010773986317947613,1.2617485304172211e-05,1.0754331069189278e-05,1.4480639539155145e-05
beta,50,100,6.417266910750921e-05,5.679466468405522e-05,7.15506735309632e-05,0.006580692588262991,0.006237848705499269,0.006923536471026713,1.2834533821501844e-06,1.1358932936811046e-06,1.4310134706192642e-06,0.00013161385176525982,0.0001247569741099854,0.00013847072942053425,6.417266910750921e-05,5.679466468405522e-05,7.15506735309632e-05,3.976648889736464e-07,3.441170135201771e-07,4.5121276442711567e-07,4.0771399111998726e-05,3.7556052909524104e-05,4.398674531447335e-05,9.075385898552046e-06,8.031978506662314e-06,1.0118793290441778e-05
beta,100,10,6.728847923631411e-05,3.895609735628991e-05,9.56208611163383e-05,0.0045248748623089585,0.0033310967555229363,0.005718652969094981,6.728847923631411e-07,3.895609735628992e-07,9.56208611163383e-07,4.5248748623089576e-05,3.331096755522935e-05,5.7186529690949805e-05,6.728847923631411e-05,3.895609735628991e-05,9.56208611163383e-05,4.947730097650597e-06,2.8837212448390878e-06,7.011738950462106e-06,0.0003346039241896274,0.0002490383114902036,0.00042016953688905114,6.728847923631411e-06,3.8956097356289904e-06,9.562086111633831e-06
beta,100,15,6.684707337223631e-05,3.278965072380775e-05,0.00010090449602066487,0.0044216957738409625,0.0031155093302683047,0.00572788221741362,6.684707337223631e-07,3.278965072380775e-07,1.0090449602066488e-06,4.4216957738409635e-05,3.115509330268306e-05,5.727882217413621e-05,6.684707337223631e-05,3.278965072380775e-05,0.00010090449602066487,3.098643587204142e-06,1.5649274248569174e-06,4.632359749551366e-06,0.0002070068711404287,0.00015208548599108705,0.00026192825628977036,6.6847073372236315e-06,3.278965072380776e-06,1.0090449602066487e-05
beta,100,20,4.190900380210008e-05,2.957720763522178e-05,5.4240799968978385e-05,0.004185042411912478,0.0036221471698362983,0.004747937653988657,4.1909003802100076e-07,2.957720763522177e-07,5.424079996897838e-07,4.185042411912478e-05,3.6221471698362984e-05,4.747937653988658e-05,4.190900380210008e-05,2.957720763522178e-05,5.4240799968978385e-05,1.4998279513117097e-06,1.0656570748920912e-06,1.933998827731328e-06,0.00015035000107335863,0.00013216703863954573,0.00016853296350717153,4.190900380210008e-06,2.957720763522178e-06,5.424079996897838e-06
