Distribution,Sample Size,Bin Count,HDEM_MSE,HDEM_MAE,HDEM_Normalized MSE,HDEM_Normalized MAE,HDEM_IMSE,HDEM_MISE,HDEM_MIAE,HDEM_AMISE,Hist_MSE,Hist_MAE,Hist_Normalized MSE,Hist_Normalized MAE,Hist_IMSE,Hist_MISE,Hist_MIAE,Hist_AMISE
beta,50,10,0.00018074391196493995,0.00800000000000002,3.614878239298799e-06,0.0001600000000000004,0.00018074391196493995,1.2725709142815654e-05,0.0005632592104251532,2.556104916171868e-05,2.1811156620185445e-33,3.8163916471489756e-17,4.362231324037089e-35,7.632783294297951e-19,2.1811156620185445e-33,1.535666857043122e-34,2.6870221823078457e-18,3.0845633503309973e-34
beta,50,15,0.0001578370007164363,0.005333333333333348,3.1567400143287257e-06,0.00010666666666666696,0.0001578370007164363,7.408595366617836e-06,0.0002503374268556237,2.232152270574761e-05,1.1515456125815348e-33,2.706168622523819e-17,2.3030912251630695e-35,5.412337245047638e-19,1.1515456125815348e-33,5.405155604260192e-35,1.2702286680000725e-18,1.6285314230040402e-34
beta,50,20,0.00021555194780466556,0.010278180403452384,4.311038956093311e-06,0.00020556360806904767,0.00021555194780466556,7.588226245378716e-06,0.00036182998616599113,3.0483648798129553e-05,2.4549588259861046e-33,3.452099717193846e-17,4.909917651972209e-35,6.904199434387692e-19,2.4549588259861046e-33,8.642363562194943e-35,1.2152668506346847e-18,3.47183606677708e-34
beta,50,25,5.066316391755211e-05,0.005786852157843663,1.0132632783510423e-06,0.00011573704315687326,5.066316391755211e-05,1.4268246852920224e-06,0.0001629748888637054,7.164853352493342e-06,1.6177811532852782e-33,2.7755575615628914e-17,3.2355623065705564e-35,5.551115123125783e-19,1.6177811532852782e-33,4.556150675200787e-35,7.81679180307737e-19,2.2878880479276273e-34
beta,50,30,9.450741092671129e-05,0.006941279022264661,1.8901482185342257e-06,0.00013882558044529323,9.450741092671129e-05,2.218007069079365e-06,0.00016290580589256096,1.3365366227732232e-05,1.775466667481983e-33,2.509566628579781e-17,3.5509333349639663e-35,5.019133257159562e-19,1.775466667481983e-33,4.1668664719253224e-35,5.889735490513157e-19,2.5108890406943824e-34
beta,50,50,6.888595138374987e-05,0.006816159969416277,1.3777190276749974e-06,0.00013632319938832553,6.888595138374987e-05,9.700161646449089e-07,9.598162206262349e-05,9.741944670387275e-06,1.8953558065200886e-33,2.949029909160572e-17,3.790711613040177e-35,5.898059818321145e-19,1.8953558065200886e-33,2.66894153763808e-35,4.152670645384853e-19,2.680437887103305e-34
beta,50,100,6.910734335282435e-05,0.007313974768987383,1.382146867056487e-06,0.00014627949537974767,6.910734335282435e-05,4.865668456436464e-07,5.149579566811645e-05,9.773254222913834e-06,3.611118645726067e-33,2.491062911502695e-17,7.222237291452134e-35,4.98212582300539e-19,3.611118645726067e-33,2.5424947964290103e-35,1.753892660815485e-19,5.106892964124168e-34
beta,100,10,0.00018075517690000815,0.007999999999999991,1.8075517690000814e-06,7.999999999999991e-05,0.00018075517690000815,1.191543177730786e-05,0.0005273622357781471,1.8075517690000814e-05,1.3000027124613842e-33,2.6367796834847467e-17,1.3000027124613843e-35,2.6367796834847467e-19,1.3000027124613842e-33,8.56965421201615e-35,1.7381725364211407e-18,1.3000027124613843e-34
beta,100,15,6.616947864830968e-05,0.004000000000000029,6.616947864830968e-07,4.000000000000029e-05,6.616947864830968e-05,2.9079403500205835e-06,0.0001757874119260505,6.616947864830967e-06,3.1135867434260315e-33,3.700743415417188e-17,3.1135867434260316e-35,3.700743415417188e-19,3.1135867434260315e-33,1.368323388585295e-34,1.6263602679963892e-18,3.1135867434260314e-34
beta,100,20,3.0024563579671635e-05,0.0020501703707645814,3.0024563579671633e-07,2.0501703707645814e-05,3.0024563579671635e-05,9.896138111024237e-07,6.757390190328273e-05,3.0024563579671634e-06,3.253617899799187e-33,4.267419750902946e-17,3.253617899799187e-35,4.267419750902946e-19,3.253617899799187e-33,1.0723970062536877e-34,1.4065475130250021e-18,3.2536178997991867e-34
beta,100,25,6.683027750507783e-05,0.006554328656450979,6.683027750507783e-07,6.55432865645098e-05,6.683027750507783e-05,1.7621882281375947e-06,0.00017282527071453855,6.683027750507783e-06,4.574565100405782e-33,3.4555691641458e-17,4.574565100405782e-35,3.4555691641458e-19,4.574565100405782e-33,1.20622643953134e-34,9.111683401449771e-19,4.5745651004057825e-34
beta,100,30,4.649046461957797e-05,0.005006577102503991,4.649046461957797e-07,5.006577102503991e-05,4.649046461957797e-05,1.0215548068393964e-06,0.0001100116539321744,4.649046461957797e-06,5.137117200099141e-33,4.6432765040312535e-17,5.13711720009914e-35,4.643276504031254e-19,5.137117200099141e-33,1.1288006717077755e-34,1.0202869493758597e-18,5.1371172000991405e-34
